code,formation,start_time,location,operation_line,url
37K,233H026,08:17,<br/>,└東神奈0728→0759町　田┐,https://loo-ool.com/rail/H/23/20250909/?U=37K
37K,233H026,08:17,<br/>,東神奈0837←0805町　田┘,https://loo-ool.com/rail/H/23/20250909/?U=37K
11K,233H005,08:09,<br/>,┌東神奈0619←0536橋　本,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈0624→0722八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈0828←0728八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈0833→0933八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1042←0940八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1052→1137橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌桜木町1236←1145橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└桜木町1241→1335八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1441←1340八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1452→1537橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1630←1547橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1648→1746八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1848←1752八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1855→1952八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈2101←2006八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈2111→2207八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈2313←2218八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈2318→0014八王子,https://loo-ool.com/rail/H/23/20250909/?U=11K
27K,,,,┌東神奈0745←0700橋　本,https://loo-ool.com/rail/H/22/20250909/?U=27K
27K,,,,└東神奈0749→0847八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=27K
27K,,,,大　船1031←0855八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=27K
29K,233H008,06:49,<br/>,東神奈0646→0743八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈0848←0748八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈0852→0936橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町1037←0945橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町1042→1135八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈1241←1140八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈1252→1337橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町1436←1345橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町1441→1535八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町1647←1541八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町1656→1803八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈1906←1808八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈1913→2012八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町2131←2026八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町2136→2238八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈2341←2246八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈2348→0032橋　本,https://loo-ool.com/rail/H/23/20250909/?U=29K
49K,233H014,11:30,<br/>,┌桜木町0708←0614橋　本,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町0715→0823八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,┌桜木町0931←0828八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町0941→1036橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,┌桜木町1136←1045橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町1141→1235八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,┌東神奈1341←1240八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,└東神奈1352→1437橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,┌桜木町1536←1445橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町1542→1646八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,┌磯　子1818←1658八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=49K
49K,233H014,11:30,<br/>,└磯　子1830→1935橋　本,https://loo-ool.com/rail/H/23/20250909/?U=49K
01K(1),233H016,06:41,<br/>,橋　本0446→0457八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=01K
01K(1),233H016,06:41,<br/>,┌桜木町0617←0514八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=01K
01K(1),233H016,06:41,<br/>,└桜木町0624→0729八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=01K
01K(1),233H016,06:41,<br/>,大　船0909←0734八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=01K
01K(1),233H016,06:41,<br/>,－－－－－－－－－－－,https://loo-ool.com/rail/H/22/20250909/?U=01K
01K(1),233H016,06:41,<br/>,大　船2134→2307八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=01K
01K(1),233H016,06:41,<br/>,東神奈0010←2315八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=01K
11K,233H005,08:09,<br/>,┌東神奈0619←0536橋　本,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈0624→0722八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈0828←0728八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈0833→0933八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1042←0940八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1052→1137橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌桜木町1236←1145橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└桜木町1241→1335八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1441←1340八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1452→1537橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1630←1547橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1648→1746八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈1848←1752八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈1855→1952八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈2101←2006八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,└東神奈2111→2207八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=11K
11K,233H005,08:09,<br/>,┌東神奈2313←2218八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=11K
