code,formation,start_time,location,operation_line,url
13K,233H004,08:18,<br/>,└東神奈0910→0954橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,┌桜木町1057←1005橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,└桜木町1102→1155八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,┌東神奈1301←1200八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,└東神奈1312→1357橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,┌桜木町1456←1405橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,└桜木町1501→1555八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,┌東神奈1700←1604八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,└東神奈1712→1811八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,┌東神奈1913←1817八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=13K
